  Part name,Part #,Quantity,Price,Total,URL,Supplier
Pololu Dual VNH5019 Motor Driver Shield for Arduino ,2502,1,59.95,59.95,http://www.pololu.com/catalog/product/2502,Pololu
Pololu Wheel 90x10mm Pair - Black,1435,2,9.95,19.9,http://www.pololu.com/catalog/product/1435,Pololu
Pololu 37D mm Metal Gearmotor Bracket Pair,1084,1,7.95,7.95,http://www.pololu.com/catalog/product/1084,Pololu
29:1 Metal Gearmotor 37Dx52L mm ,1443,2,24.95,49.9,http://www.pololu.com/catalog/product/1103,Pololu
"Pololu Universal Aluminum Mounting Hub for 6mm Shaft Pair, 4-40 Holes",1083,1,7.95,15.9,http://www.pololu.com/catalog/product/1083,Pololu
NiMH Battery Pack: 12V 3800 mAh (Trail-Tech Female plug) for Bike Light with Fast Smart Charger & Bag,3099,1,69.95,69.95,http://www.batteryspace.com/nimhbatterypack12v3800mahtrail-techfemaleplugforbikelightwithfastsmartchargerbag.aspx,Batteryspace
,,,,,,
Metric Multipurpose Aluminum (Alloy 6060) - 6mm tube,1681T23,1,10.72,10.72,http://www.mcmaster.com/#aluminum-alloy-rods/=icg5ci,McMaster
TETRIX Axle Set Collars,W739092,4,3.95,15.8,http://www.legoeducation.us/eng/product/tetrix_axle_set_collars/1618,Lego
TETRIX L Brackets,W739062,2,4.95,9.9,http://www.legoeducation.us/eng/product/tetrix_l_brackets/1589,Lego
GPS,,,,,,
Arduino UNO R3,-,-,-,-,-,
,,,,Total: 259.97,,
